ENSEMBL	SYMBOL	KO01	KO02	KO03	WT01	WT02	WT03
ENSG00000105173.13	CCNE1	2264	2043	1442	1455	1697	1876
ENSG00000105176.17	URI1	5306	4406	3187	4354	4862	4929
ENSG00000105185.11	PDCD5	3175	2599	2256	2241	2475	2901
ENSG00000105186.14	ANKRD27	4737	3861	2908	3853	4345	4418
ENSG00000105193.8	RPS16	33238	28944	22163	25843	29655	36662
ENSG00000105197.10	TIMM50	7061	6379	5220	5644	6342	7632
ENSG00000105198.10	LGALS13	0	0	0	0	0	0
ENSG00000105202.7	FBL	14753	13397	11038	11624	12926	16867
ENSG00000105204.13	DYRK1B	673	650	643	634	637	850
ENSG00000105205.6	CLC	0	0	0	0	0	0
ENSG00000105219.8	CNTD2	23	22	13	15	11	18
ENSG00000105220.14	GPI	30225	26092	21733	24356	27105	31496
ENSG00000105221.16	AKT2	8341	7688	7093	7579	8321	10341
ENSG00000105223.19	PLD3	4211	3997	3915	3289	3974	4804
ENSG00000105227.14	PRX	253	184	123	273	285	356
ENSG00000105229.6	PIAS4	3573	3402	3147	2900	3099	4147
ENSG00000105245.9	NUMBL	3411	3138	3017	2969	3132	4794
ENSG00000105246.5	EBI3	47	58	36	48	65	90
ENSG00000105248.15	CCDC94	3374	3326	3161	2076	2374	3280
ENSG00000105251.10	SHD	0	1	1	1	2	3
ENSG00000105254.11	TBCB	2371	2033	1661	1984	2020	2632
ENSG00000105255.10	FSD1	59	67	45	65	79	80
ENSG00000105258.8	POLR2I	767	624	545	517	591	650
ENSG00000105261.7	OVOL3	48	36	49	31	34	69
ENSG00000105270.14	CLIP3	149	156	139	161	130	163
ENSG00000105278.10	ZFR2	5	0	0	1	1	0
ENSG00000105281.12	SLC1A5	20167	18338	14483	14040	16245	18899
ENSG00000105287.12	PRKD2	6151	5694	5213	4012	4605	5721
ENSG00000105289.14	TJP3	224	209	169	293	279	365
ENSG00000105290.11	APLP1	33	32	24	45	48	56
ENSG00000105298.13	CACTIN	2801	2561	2070	1784	1941	2472
ENSG00000105321.12	CCDC9	1905	1726	1522	1247	1346	1766
ENSG00000105323.16	HNRNPUL1	41029	39273	38047	26402	30115	35299
ENSG00000105325.13	FZR1	4206	3755	3179	2951	3499	4093
ENSG00000105327.15	BBC3	345	312	229	251	251	305
ENSG00000105329.9	TGFB1	6744	6218	6635	6298	7121	9565
ENSG00000105339.10	DENND3	135	147	101	188	204	190
ENSG00000105341.18	ATP5SL	4291	3992	3707	2653	3006	3948
ENSG00000105352.10	CEACAM4	0	0	0	0	0	0
ENSG00000105355.8	PLIN3	3650	3171	2712	2587	3097	3254
ENSG00000105357.15	MYH14	8	10	13	2	3	7
ENSG00000105364.13	MRPL4	6773	6725	6732	5304	5890	8642
ENSG00000105366.15	SIGLEC8	0	0	0	0	0	0
ENSG00000105369.9	CD79A	50716	49825	54212	32441	38489	52809
ENSG00000105370.7	LIM2	0	0	0	0	0	0
ENSG00000105371.8	ICAM4	0	0	0	0	0	0
ENSG00000105372.6	RPS19	43110	36398	27980	37249	41400	48960
ENSG00000105373.18	GLTSCR2	13690	12763	11097	10350	11678	14905
ENSG00000105374.9	NKG7	5	5	4	7	5	5
ENSG00000105376.4	ICAM5	218	202	149	274	287	322
ENSG00000105379.9	ETFB	1124	929	707	814	917	1051
ENSG00000105383.14	CD33	1022	972	802	1060	1143	1399
ENSG00000105388.15	CEACAM5	0	0	1	0	0	0
ENSG00000105392.15	CRX	0	1	1	0	0	0
ENSG00000105393.15	BABAM1	1649	1478	1047	1316	1345	1593
ENSG00000105397.13	TYK2	9391	9097	6598	7815	8832	9325
ENSG00000105398.3	SULT2A1	0	0	0	0	0	0
ENSG00000105401.6	CDC37	11595	10884	8853	8660	9471	12017
ENSG00000105402.7	NAPA	4375	3872	3093	3121	3452	4163
ENSG00000105404.10	RABAC1	3541	3098	2480	2646	3041	3751
ENSG00000105409.15	ATP1A3	3833	3323	3260	3211	3768	4250
ENSG00000105419.17	MEIS3	25	28	18	20	35	31
ENSG00000105426.14	PTPRS	9585	8350	8059	10546	11527	13126
ENSG00000105427.9	CNFN	69	74	109	53	76	116
ENSG00000105428.5	ZNRF4	0	0	0	0	0	0
ENSG00000105429.12	MEGF8	1814	1633	1388	1633	1715	1844
ENSG00000105438.8	KDELR1	8068	7889	7981	5007	5724	7428
ENSG00000105443.13	CYTH2	3206	3100	2308	2531	2502	3107
ENSG00000105447.12	GRWD1	10058	8932	7172	6591	7220	8650
ENSG00000105464.3	GRIN2D	14	7	12	7	15	24
ENSG00000105467.8	SYNGR4	8	6	10	8	10	8
ENSG00000105472.12	CLEC11A	0	0	0	0	0	0
ENSG00000105479.15	CCDC114	14	11	10	10	12	15
ENSG00000105483.16	CARD8	2750	2120	1368	2441	2539	2251
ENSG00000105486.13	LIG1	7842	7108	5414	5724	6299	7212
ENSG00000105492.15	SIGLEC6	1	1	1	1	0	0
ENSG00000105497.7	ZNF175	1038	919	670	837	933	921
ENSG00000105499.13	PLA2G4C	34	27	23	49	41	51
ENSG00000105501.11	SIGLEC5	0	0	0	0	0	0
ENSG00000105507.2	CABP5	0	1	0	0	0	0
ENSG00000105509.10	HAS1	0	0	0	0	0	2
ENSG00000105514.7	RAB3D	177	175	133	212	221	234
ENSG00000105516.10	DBP	144	138	125	152	159	253
ENSG00000105518.13	TMEM205	476	406	369	459	507	600
ENSG00000105519.13	CAPS	201	159	162	136	161	185
ENSG00000105520.10	PLPPR2	23	18	20	18	17	33
ENSG00000105523.3	FAM83E	14	16	9	14	23	17
ENSG00000105538.8	RASIP1	0	1	0	0	0	1
ENSG00000105549.10	THEG	9	3	3	5	3	5
ENSG00000105550.8	FGF21	0	0	0	0	0	0
ENSG00000105552.14	BCAT2	2715	2570	2093	2191	2540	2911
ENSG00000105556.10	MIER2	994	856	733	836	894	1110
ENSG00000105559.11	PLEKHA4	35	36	25	53	65	68
ENSG00000105568.17	PPP2R1A	19524	17415	14296	14357	16490	19377
ENSG00000105576.15	TNPO2	9551	9271	7087	7879	8564	9525
ENSG00000105583.9	WDR83OS	1606	1381	1015	1220	1351	1528
ENSG00000105605.7	CACNG7	0	0	0	0	0	0
ENSG00000105607.12	GCDH	1626	1396	968	1353	1389	1595
ENSG00000105609.16	LILRB5	0	1	2	0	1	1
ENSG00000105610.4	KLF1	15	7	13	17	13	11
ENSG00000105612.8	DNASE2	1288	1050	886	1129	1384	1500
ENSG00000105613.9	MAST1	705	655	599	650	748	879
ENSG00000105617.3	LENG1	651	532	430	422	452	598
ENSG00000105618.13	PRPF31	3636	3240	2591	2825	3163	3629
ENSG00000105619.13	TFPT	831	706	685	581	592	833
ENSG00000105639.18	JAK3	465	495	408	686	817	783
ENSG00000105640.12	RPL18A	2070	1786	1467	1746	2021	2471
ENSG00000105641.3	SLC5A5	20	27	19	14	15	8
ENSG00000105642.15	KCNN1	6	13	5	4	4	3
ENSG00000105643.9	ARRDC2	986	901	655	964	984	1119
ENSG00000105647.14	PIK3R2	7	4	7	3	0	2
ENSG00000105649.9	RAB3A	282	263	313	278	284	365
ENSG00000105650.21	PDE4C	9	7	5	5	3	5
ENSG00000105655.18	ISYNA1	352	366	293	239	295	368
ENSG00000105656.12	ELL	4245	3888	3628	2491	2783	3199
ENSG00000105662.15	CRTC1	1418	1309	1335	951	1026	1420
ENSG00000105664.10	COMP	5	1	0	1	3	0
ENSG00000105668.7	UPK1A	4	3	0	0	2	1
ENSG00000105669.12	COPE	6674	6548	6648	4479	5115	7079
ENSG00000105671.11	DDX49	4577	4161	3373	3405	3510	4238
ENSG00000105672.14	ETV2	48	42	46	47	57	69
ENSG00000105675.8	ATP4A	3	0	0	1	1	3
ENSG00000105676.13	ARMC6	5550	4674	3549	4353	4611	5442
ENSG00000105677.11	TMEM147	2078	1815	1405	1994	2063	2726
ENSG00000105679.8	GAPDHS	1	0	0	0	0	0
ENSG00000105695.14	MAG	10	4	6	8	5	10
ENSG00000105696.8	TMEM59L	9	9	6	3	7	7
ENSG00000105697.7	HAMP	5	7	0	2	3	1
ENSG00000105698.15	USF2	7037	6818	6187	5079	5786	7603
ENSG00000105699.16	LSR	3973	3902	3908	2782	3075	4054
ENSG00000105700.10	KXD1	3597	3485	3707	2330	2729	3725
ENSG00000105701.15	FKBP8	9033	8202	7767	6781	7726	9888
ENSG00000105705.15	SUGP1	2712	2581	2388	1937	2083	2699
ENSG00000105707.13	HPN	0	0	0	1	1	1
ENSG00000105708.8	ZNF14	272	237	156	291	292	294
ENSG00000105711.10	SCN1B	11	11	2	10	13	6
ENSG00000105717.13	PBX4	12	15	14	16	16	29
ENSG00000105722.9	ERF	2938	3018	3069	2539	2865	3780
ENSG00000105723.11	GSK3A	6176	6045	6314	4112	4709	6974
ENSG00000105726.16	ATP13A1	6483	6327	5461	5107	5614	6635
ENSG00000105732.11	ZNF574	3190	3073	2754	2612	2953	3702
ENSG00000105737.9	GRIK5	75	80	60	65	48	87
ENSG00000105738.10	SIPA1L3	8687	7828	8025	6784	7811	8632
ENSG00000105750.14	ZNF85	406	308	205	527	482	511
ENSG00000105755.7	ETHE1	150	106	97	124	137	145
ENSG00000105767.2	CADM4	25	19	18	23	25	17
ENSG00000105771.13	SMG9	3458	3494	3163	2404	2613	3304
ENSG00000105778.17	AVL9	4582	3823	2810	3562	4097	3731
ENSG00000105784.15	RUNDC3B	13	1	1	8	10	4
ENSG00000105792.19	CFAP69	0	0	0	0	0	1
ENSG00000105793.15	GTPBP10	1971	1418	948	1412	1701	1507
ENSG00000105808.17	RASA4	37	39	24	29	39	29
ENSG00000105810.9	CDK6	11835	8925	6851	8678	9110	8681
ENSG00000105819.13	PMPCB	6641	5376	3624	5813	6315	6560
ENSG00000105821.14	DNAJC2	4645	3857	2947	3403	3664	3859
ENSG00000105825.11	TFPI2	9	6	5	21	17	21
ENSG00000105829.11	BET1	1646	1143	613	1177	1396	1288
ENSG00000105835.11	NAMPT	8393	7134	5284	6487	7590	6640
ENSG00000105849.5	TWISTNB	4315	3212	2001	3201	3571	3350
ENSG00000105851.10	PIK3CG	5949	5067	3952	4093	4773	3923
ENSG00000105852.10	PON3	0	0	0	0	0	0
ENSG00000105854.12	PON2	41	48	23	44	47	47
ENSG00000105855.9	ITGB8	598	517	257	484	539	311
ENSG00000105856.13	HBP1	835	662	514	609	733	663
ENSG00000105865.10	DUS4L	652	484	316	575	603	607
ENSG00000105866.13	SP4	1621	1265	778	1405	1495	1195
ENSG00000105875.13	WDR91	1471	1256	990	1061	1241	1211
ENSG00000105877.17	DNAH11	179	109	76	125	146	117
ENSG00000105879.11	CBLL1	4587	4286	4141	3080	3569	3788
ENSG00000105880.4	DLX5	0	0	0	0	0	0
ENSG00000105887.10	MTPN	25001	20036	14193	18232	20239	19028
ENSG00000105889.14	STEAP1B	382	302	210	360	347	388
ENSG00000105894.11	PTN	0	0	0	0	0	0
ENSG00000105926.15	MPP6	2112	1636	1022	1780	1857	1650
ENSG00000105928.13	DFNA5	69	54	37	42	48	42
ENSG00000105929.15	ATP6V0A4	0	0	0	0	0	0
ENSG00000105939.12	ZC3HAV1	9428	8061	7118	7171	8133	8389
ENSG00000105948.13	TTC26	752	577	335	627	693	678
ENSG00000105953.14	OGDH	11449	10076	9285	9339	10716	12103
ENSG00000105954.2	NPVF	0	0	0	0	0	0
ENSG00000105963.13	ADAP1	418	478	388	360	409	497
ENSG00000105967.15	TFEC	1672	1338	846	1203	1390	1029
ENSG00000105968.18	H2AFV	7558	5864	3441	5664	5986	5741
ENSG00000105971.14	CAV2	1	0	0	0	1	0
ENSG00000105974.11	CAV1	167	140	107	186	203	161
ENSG00000105976.14	MET	1279	1048	797	1196	1264	1143
ENSG00000105982.16	RNF32	132	123	86	130	112	141
ENSG00000105983.19	LMBR1	3773	2884	1703	3468	3678	3444
ENSG00000105989.8	WNT2	8	5	2	1	5	3
ENSG00000105991.7	HOXA1	133	103	129	96	116	126
ENSG00000105993.14	DNAJB6	4008	3163	2347	3133	3513	3891
ENSG00000105996.6	HOXA2	3	4	2	4	7	8
ENSG00000105997.22	HOXA3	7	9	15	21	28	21
ENSG00000106003.12	LFNG	11	10	7	9	15	13
ENSG00000106004.4	HOXA5	41	35	31	47	57	64
ENSG00000106006.6	HOXA6	23	18	11	14	9	20
ENSG00000106009.15	BRAT1	3454	3111	2608	2635	2836	3451
ENSG00000106012.17	IQCE	1433	1249	1077	1075	1277	1523
ENSG00000106013.13	ANKRD7	62	59	36	79	93	63
ENSG00000106018.13	VIPR2	0	0	0	0	0	0
ENSG00000106025.8	TSPAN12	87	56	56	90	113	81
ENSG00000106028.10	SSBP1	6271	4843	3219	4964	5371	5440
ENSG00000106031.7	HOXA13	12	12	6	10	16	11
ENSG00000106034.17	CPED1	81	54	22	47	57	49
ENSG00000106038.12	EVX1	0	1	0	0	0	0
ENSG00000106049.8	HIBADH	1133	882	598	976	1127	1232
ENSG00000106052.13	TAX1BP1	6534	5133	3557	5308	5728	5782
ENSG00000106066.13	CPVL	1085	800	635	752	807	761
ENSG00000106069.20	CHN2	2248	1901	1405	1538	1869	1707
ENSG00000106070.17	GRB10	3	1	4	1	0	0
ENSG00000106077.18	ABHD11	521	460	340	361	431	516
ENSG00000106078.17	COBL	1943	1938	1627	1049	1252	1133
ENSG00000106080.10	FKBP14	1225	951	612	1092	1122	1106
ENSG00000106086.18	PLEKHA8	2208	1641	1069	1998	2166	2125
ENSG00000106089.11	STX1A	182	185	147	161	132	163
ENSG00000106100.10	NOD1	138	154	80	145	137	133
ENSG00000106105.13	GARS	22963	19454	15267	18382	21133	23565
ENSG00000106113.18	CRHR2	4	8	3	5	7	6
ENSG00000106123.11	EPHB6	47	44	34	32	48	56
ENSG00000106125.14	FAM188B	37	32	9	25	26	30
ENSG00000106128.18	GHRHR	3	0	0	3	2	3
ENSG00000106144.19	CASP2	7414	6484	4954	4956	5571	5597
ENSG00000106153.12	CHCHD2	7767	6388	4603	6114	6685	7635
ENSG00000106178.6	CCL24	0	0	0	0	0	0
ENSG00000106211.8	HSPB1	246	186	225	83	108	143
ENSG00000106236.3	NPTX2	0	0	0	0	0	0
ENSG00000106244.12	PDAP1	7097	6205	4879	4286	4498	5630
ENSG00000106245.9	BUD31	3147	2715	2095	2083	2388	3039
ENSG00000106246.17	PTCD1	421	368	304	292	340	383
ENSG00000106258.13	CYP3A5	19	8	17	11	14	7
ENSG00000106261.16	ZKSCAN1	3851	3166	2415	2991	3345	3152
ENSG00000106263.17	EIF3B	35947	30339	22925	26000	28788	33994
ENSG00000106266.8	SNX8	4042	3797	3195	3027	3337	4114
ENSG00000106268.15	NUDT1	1471	1196	900	937	1044	1310
ENSG00000106278.11	PTPRZ1	0	1	0	0	0	0
ENSG00000106290.14	TAF6	2862	2407	2020	2166	2395	2578
ENSG00000106299.7	WASL	783	641	501	644	687	702
ENSG00000106302.9	HYAL4	1	0	0	1	0	0
ENSG00000106304.15	SPAM1	0	0	0	0	0	0
ENSG00000106305.9	AIMP2	2026	1938	1682	1543	1624	2284
ENSG00000106327.12	TFR2	106	113	106	144	142	209
ENSG00000106328.9	FSCN3	3	3	5	3	3	4
ENSG00000106330.11	MOSPD3	604	562	628	444	521	709
ENSG00000106331.14	PAX4	0	0	0	0	0	1
ENSG00000106333.12	PCOLCE	108	91	90	100	112	159
ENSG00000106336.12	FBXO24	12	4	8	17	8	10
ENSG00000106341.10	PPP1R17	1	0	0	0	1	0
ENSG00000106344.8	RBM28	5359	4411	3449	4123	4367	4778
ENSG00000106346.11	USP42	1672	1539	1267	1426	1566	1759
ENSG00000106348.16	IMPDH1	3808	3421	2481	2570	2879	3514
ENSG00000106351.12	AGFG2	1057	1001	842	825	916	1117
ENSG00000106355.9	LSM5	2446	1651	762	1788	1863	1822
ENSG00000106366.8	SERPINE1	15	5	3	11	5	6
ENSG00000106367.13	AP1S1	2226	1818	1603	1699	1921	2309
ENSG00000106384.10	MOGAT3	1	1	0	0	0	0
ENSG00000106392.10	C1GALT1	2029	1536	983	1704	1987	1668
ENSG00000106397.11	PLOD3	792	773	626	682	841	1001
ENSG00000106399.11	RPA3	1826	1388	811	1480	1736	1535
ENSG00000106400.11	ZNHIT1	2699	2317	2094	1857	2083	2623
ENSG00000106404.13	CLDN15	908	989	652	782	813	877
ENSG00000106410.14	NOBOX	0	0	0	0	0	0
ENSG00000106415.12	GLCCI1	4319	3826	2775	2905	3314	2884
ENSG00000106436.4	MYL10	0	0	0	0	0	0
ENSG00000106443.15	PHF14	6778	5523	4152	6241	6585	7710
ENSG00000106459.14	NRF1	1941	1642	1125	1343	1511	1579
ENSG00000106460.18	TMEM106B	1925	1414	769	1872	1967	1485
ENSG00000106462.10	EZH2	9974	8730	6966	7504	8172	8952
ENSG00000106477.18	CEP41	1616	1271	1021	1066	1219	1228
ENSG00000106479.10	ZNF862	232	221	193	223	235	263
ENSG00000106483.11	SFRP4	0	0	0	0	1	0
ENSG00000106484.14	MEST	2455	1898	1155	2222	2327	2441
ENSG00000106511.5	MEOX2	351	281	224	246	296	266
ENSG00000106524.8	ANKMY2	888	712	494	786	790	787
ENSG00000106526.10	ACTR3C	52	37	27	39	39	40
ENSG00000106536.19	POU6F2	1	0	0	0	0	0
ENSG00000106537.7	TSPAN13	1442	1080	532	1244	1416	1093
ENSG00000106538.9	RARRES2	47	54	37	43	46	53
ENSG00000106541.11	AGR2	0	0	1	0	0	0
ENSG00000106546.12	AHR	2717	2218	1558	1959	2266	1800
ENSG00000106554.11	CHCHD3	2930	2362	1955	2974	3299	3873
ENSG00000106560.10	GIMAP2	73	45	35	52	73	54
ENSG00000106565.17	TMEM176B	6	5	7	4	5	5
ENSG00000106571.12	GLI3	0	3	0	0	0	0
ENSG00000106588.10	PSMA2	724	600	335	538	687	610
ENSG00000106591.3	MRPL32	2499	1894	1490	1812	2047	2333
ENSG00000106603.17	COA1	2293	1990	1335	1717	2032	2064
ENSG00000106605.10	BLVRA	9	6	8	6	10	3
ENSG00000106608.16	URGCP	2121	1931	1555	1732	1839	2166
ENSG00000106609.16	TMEM248	8515	7309	5699	6470	7137	7399
ENSG00000106615.9	RHEB	2363	2045	1730	1392	1662	1949
ENSG00000106617.13	PRKAG2	616	524	395	552	598	613
ENSG00000106624.8	AEBP1	359	257	263	286	329	373
ENSG00000106628.10	POLD2	15847	15424	13955	11612	13497	17863
ENSG00000106631.8	MYL7	0	0	0	0	0	0
ENSG00000106633.15	GCK	6	2	5	6	1	5
ENSG00000106635.7	BCL7B	4651	4533	4352	3453	3920	5374
ENSG00000106636.7	YKT6	7629	6351	4772	5339	5948	6812
ENSG00000106638.15	TBL2	2383	2145	1812	1884	2062	2348
ENSG00000106648.13	GALNTL5	0	1	0	0	0	0
ENSG00000106665.15	CLIP2	69	64	65	99	134	104
ENSG00000106682.14	EIF4H	12677	10642	7499	9039	9736	10805
ENSG00000106683.14	LIMK1	4129	3891	3633	3752	4292	5363
ENSG00000106686.16	SPATA6L	32	25	16	15	24	27
ENSG00000106688.11	SLC1A1	650	493	286	666	675	777
ENSG00000106689.10	LHX2	4	2	1	6	1	3
ENSG00000106692.13	FKTN	1955	1517	1057	1384	1479	1289
ENSG00000106701.11	FSD1L	259	194	98	332	337	229
ENSG00000106714.17	CNTNAP3	0	0	1	0	0	0
ENSG00000106723.16	SPIN1	4313	3357	2141	3350	3783	3484
ENSG00000106733.20	NMRK1	263	237	151	278	304	287
ENSG00000106771.12	TMEM245	6079	4891	3236	4383	4930	4460
ENSG00000106772.17	PRUNE2	13	10	5	2	7	11
ENSG00000106780.8	MEGF9	4935	3946	3012	4814	5209	5015
ENSG00000106785.14	TRIM14	4863	4343	3590	3793	3989	4337
ENSG00000106789.12	CORO2A	181	151	110	234	283	273
ENSG00000106799.12	TGFBR1	1743	1406	733	1320	1510	1072
ENSG00000106803.9	SEC61B	8628	6971	4862	6028	6936	7770
ENSG00000106804.7	C5	508	349	228	432	441	384
ENSG00000106809.10	OGN	3	5	2	4	1	4
ENSG00000106819.11	ASPN	0	0	0	2	0	0
ENSG00000106823.12	ECM2	10	2	4	5	1	3
ENSG00000106829.18	TLE4	2589	2373	1991	2031	2410	2444
ENSG00000106852.15	LHX6	1	6	3	6	4	6
ENSG00000106853.16	PTGR1	0	0	1	1	0	0
ENSG00000106868.16	SUSD1	161	113	91	104	143	126
ENSG00000106927.11	AMBP	3	3	2	3	2	3
ENSG00000106948.16	AKNA	7487	6919	6438	5565	6325	7499
ENSG00000106952.7	TNFSF8	1004	1055	856	879	1032	921
ENSG00000106976.19	DNM1	11	21	8	19	19	14
ENSG00000106991.13	ENG	37	31	24	48	38	41
ENSG00000106992.17	AK1	19	17	14	31	33	27
ENSG00000106993.11	CDC37L1	759	595	345	620	606	655
ENSG00000107014.8	RLN2	39	34	17	34	33	32
ENSG00000107018.7	RLN1	11	4	10	5	10	4
ENSG00000107020.9	PLGRKT	524	415	265	461	586	524
ENSG00000107021.15	TBC1D13	1708	1556	1158	1578	1671	1922
ENSG00000107036.11	RIC1	4996	3905	2726	4613	5036	4552
ENSG00000107077.17	KDM4C	829	676	468	582	652	680
ENSG00000107099.15	DOCK8	7544	6332	5009	5037	5620	4989
ENSG00000107104.18	KANK1	18388	16068	12586	12065	13627	13730
ENSG00000107105.14	ELAVL2	1	1	0	1	0	1
ENSG00000107130.9	NCS1	8	5	4	8	12	8
ENSG00000107140.15	TESK1	1531	1499	1463	1249	1358	1932
ENSG00000107147.11	KCNT1	12	15	8	4	5	7
ENSG00000107159.12	CA9	0	0	0	0	0	0
ENSG00000107164.15	FUBP3	5231	4282	3294	4133	4511	4381
ENSG00000107165.12	TYRP1	0	0	0	0	0	0
ENSG00000107175.10	CREB3	1670	1316	1202	1122	1327	1517
ENSG00000107185.9	RGP1	2589	2240	1757	1704	1874	2048
ENSG00000107186.16	MPDZ	2	0	0	0	0	0
ENSG00000107187.15	LHX3	76	89	63	66	83	76
ENSG00000107201.9	DDX58	528	445	321	352	405	354
ENSG00000107223.12	EDF1	7789	6981	5694	5453	6424	8079
ENSG00000107242.17	PIP5K1B	102	115	84	97	105	111
ENSG00000107249.21	GLIS3	3	0	1	1	0	4
ENSG00000107262.17	BAG1	6141	5037	3873	4928	5541	6170
ENSG00000107263.18	RAPGEF1	20004	17739	15479	12551	14417	14018
ENSG00000107281.9	NPDC1	19	29	25	24	67	42
ENSG00000107282.7	APBA1	0	2	2	0	0	0
ENSG00000107290.13	SETX	14956	12038	9130	11321	13018	10866
ENSG00000107295.9	SH3GL2	42	40	36	34	35	34
ENSG00000107317.11	PTGDS	0	0	0	0	0	0
ENSG00000107331.16	ABCA2	293	249	226	309	361	295
ENSG00000107338.9	SHB	21	26	11	30	17	37
ENSG00000107341.4	UBE2R2	8155	7391	6576	6426	7631	8683
ENSG00000107362.13	ABHD17B	1502	1128	620	1348	1489	1239
ENSG00000107371.12	EXOSC3	1728	1301	891	1295	1535	1526
ENSG00000107372.12	ZFAND5	5257	4109	2818	3860	4181	4294
ENSG00000107404.17	DVL1	2032	1830	1364	1857	1993	2393
ENSG00000107438.8	PDLIM1	2271	2106	1811	1745	2088	2299
ENSG00000107443.15	CCNJ	768	574	466	635	761	708
ENSG00000107447.7	DNTT	11	6	5	7	11	7
ENSG00000107485.15	GATA3	5	6	5	3	7	1
ENSG00000107518.16	ATRNL1	1	0	0	0	0	1
ENSG00000107521.18	HPS1	2389	2002	1736	1841	1894	2455
ENSG00000107537.13	PHYH	240	197	145	167	276	205
ENSG00000107551.20	RASSF4	21	21	23	27	27	25
ENSG00000107554.15	DNMBP	1534	1354	1151	1142	1384	1400
ENSG00000107560.10	RAB11FIP2	1023	778	461	777	926	690
ENSG00000107562.16	CXCL12	0	0	0	1	0	0
ENSG00000107566.13	ERLIN1	1057	909	611	1092	1166	1200
ENSG00000107581.12	EIF3A	29168	24324	18847	22216	23818	25624
ENSG00000107593.16	PKD2L1	1	0	1	2	0	0
ENSG00000107611.14	CUBN	36	34	24	48	31	24
ENSG00000107614.21	TRDMT1	547	442	272	441	468	454
ENSG00000107625.12	DDX50	3157	2280	1497	2981	3090	3225
ENSG00000107643.15	MAPK8	1904	1551	1118	1364	1485	1501
ENSG00000107651.12	SEC23IP	3652	2832	2193	3353	3519	3615
ENSG00000107669.17	ATE1	4013	3180	2198	3754	4122	3858
ENSG00000107672.14	NSMCE4A	2105	1889	1235	2051	2187	2577
ENSG00000107679.14	PLEKHA1	119	104	52	175	149	156
ENSG00000107719.8	PALD1	8700	7653	6087	8008	8828	10030
ENSG00000107731.12	UNC5B	0	1	0	2	3	5
ENSG00000107736.19	CDH23	13	13	13	11	11	15
ENSG00000107738.19	C10orf54	98	99	78	65	72	87
ENSG00000107742.12	SPOCK2	249	244	214	369	418	475
ENSG00000107745.17	MICU1	3226	2728	2228	2811	3177	3814
ENSG00000107758.15	PPP3CB	4045	3136	1897	3504	3701	3942
ENSG00000107771.15	CCSER2	1721	1370	1124	1861	2075	1826
ENSG00000107779.11	BMPR1A	357	312	189	302	397	330
ENSG00000107789.15	MINPP1	856	624	498	780	872	867
ENSG00000107796.12	ACTA2	50	51	41	21	43	34
ENSG00000107798.17	LIPA	1661	1366	881	1978	2333	2087
ENSG00000107807.12	TLX1	0	0	0	0	1	3
ENSG00000107815.7	C10orf2	2253	1869	1551	2050	2244	2614
ENSG00000107816.17	LZTS2	497	476	389	482	550	636
ENSG00000107819.13	SFXN3	218	179	193	170	202	190
ENSG00000107821.14	KAZALD1	101	106	72	95	101	93
ENSG00000107829.13	FBXW4	947	871	669	860	821	974
ENSG00000107831.12	FGF8	7	8	11	28	13	14
ENSG00000107833.10	NPM3	1404	1264	954	1453	1535	1790
ENSG00000107854.5	TNKS2	4106	3071	1883	3397	3587	3022
ENSG00000107859.9	PITX3	1	0	1	1	3	1
ENSG00000107862.4	GBF1	6875	6063	5341	4634	5212	5855
ENSG00000107863.16	ARHGAP21	1540	1433	1196	1147	1343	1236
ENSG00000107864.14	CPEB3	183	154	111	168	197	139
ENSG00000107872.12	FBXL15	438	386	322	404	386	521
ENSG00000107874.10	CUEDC2	1281	1141	832	977	1134	1322
ENSG00000107882.11	SUFU	1972	1754	1493	1321	1529	1858
ENSG00000107890.16	ANKRD26	2666	2051	1317	2146	2288	2159
ENSG00000107897.18	ACBD5	2140	1740	1081	1807	1972	1793
ENSG00000107902.13	LHPP	231	239	166	250	281	327
ENSG00000107929.14	LARP4B	14372	12058	9449	10606	12301	12215
ENSG00000107937.18	GTPBP4	8844	6890	4502	7367	7654	7806
ENSG00000107938.17	EDRF1	2724	2324	1345	2571	2574	2516
ENSG00000107949.16	BCCIP	4325	3189	2560	3448	3676	4064
ENSG00000107951.12	MTPAP	2748	2156	1548	2147	2337	2270
ENSG00000107954.10	NEURL1	1	3	2	3	6	3
ENSG00000107957.16	SH3PXD2A	276	262	201	229	282	242
ENSG00000107959.15	PITRM1	6406	5377	4238	4469	5163	5453
ENSG00000107960.10	OBFC1	473	370	267	383	369	413
ENSG00000107968.9	MAP3K8	1179	1092	769	944	1111	1067
ENSG00000107984.9	DKK1	0	0	0	0	0	0
ENSG00000108001.13	EBF3	0	0	1	0	3	0
ENSG00000108010.11	GLRX3	4074	3160	2129	3672	3842	4158
ENSG00000108018.15	SORCS1	0	0	0	0	3	0
ENSG00000108021.19	FAM208B	18357	14591	10896	12183	13324	11299
ENSG00000108039.17	XPNPEP1	7199	6210	4661	5563	6247	7181
ENSG00000108055.9	SMC3	8793	6766	5310	7270	7457	7528
ENSG00000108061.11	SHOC2	4679	3942	2741	3804	4108	3668
ENSG00000108064.10	TFAM	6468	4554	2479	6140	6398	5914
ENSG00000108091.10	CCDC6	11380	9097	6644	9153	9936	9914
ENSG00000108094.14	CUL2	4505	3441	2273	3140	3486	3359
